,Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán
0,USD,Dollar Mỹ,"23,775","23,775","24,075"
1,USD(1-2-5),Dollar,"23,552",-,-
2,USD(10-20),Dollar,"23,727",-,-
3,GBP,Bảng Anh,"29,806","29,986","31,116"
4,HKD,Dollar Hồng Kông,"2,993","3,014","3,101"
5,CHF,Franc Thụy Sỹ,"26,655","26,816","27,657"
6,JPY,Yên Nhật,160.72,161.69,169.24
7,THB,Baht Thái Lan,640.04,646.51,705.95
8,AUD,Dollar Australia,"15,128","15,220","15,677"
9,CAD,Dollar Canada,"17,356","17,461","17,995"
10,SGD,Dollar Singapore,"17,268","17,372","17,860"
11,SEK,Krone Thụy Điển,-,"2,170","2,242"
12,LAK,Kip Lào,-,0.96,1.32
13,DKK,Krone Đan Mạch,-,"3,449","3,564"
14,NOK,Krone Na Uy,-,"2,238","2,313"
15,CNY,Nhân Dân Tệ,-,"3,227","3,334"
16,RUB,Rub Nga,-,223,286
17,NZD,Dollar New Zealand,"14,040","14,125","14,471"
18,KRW,Won Hàn Quốc,16.01,17.69,19.16
19,EUR,Euro,"25,642","25,711","26,865"
20,TWD,Dollar Đài Loan,677.8,-,819.48
21,MYR,Ringgit Malaysia,"4,829.86",-,"5,440.78"
